Time (s),Raw ADC,Voltage (V),Voltage_Filtered
979.456,128,0.625,0.566
979.723,116,0.566,0.566
979.99,119,0.581,0.571
980.257,117,0.571,0.571
980.524,116,0.566,0.571
980.791,127,0.62,0.571
981.058,115,0.562,0.571
981.325,121,0.591,0.571
981.592,116,0.566,0.571
981.859,117,0.571,0.571
982.126,118,0.576,0.571
982.393,115,0.562,0.571
982.66,120,0.586,0.571
982.927,116,0.566,0.571
983.194,117,0.571,0.571
983.461,117,0.571,0.571
983.728,115,0.562,0.571
983.995,120,0.586,0.571
984.262,115,0.562,0.566
984.529,117,0.571,0.566
984.796,116,0.566,0.566
985.063,116,0.566,0.566
985.33,121,0.591,0.566
985.597,115,0.562,0.566
985.864,117,0.571,0.571
986.131,116,0.566,0.571
986.398,117,0.571,0.571
986.665,118,0.576,0.571
986.932,115,0.562,0.571
987.199,118,0.576,0.571
987.466,115,0.562,0.571
987.733,117,0.571,0.571
988.0,117,0.571,0.571
988.267,115,0.562,0.571
988.534,118,0.576,0.571
988.801,115,0.562,0.566
989.068,117,0.571,0.566
989.335,116,0.566,0.566
989.602,116,0.566,0.566
989.869,119,0.581,0.566
990.136,115,0.562,0.566
990.403,118,0.576,0.566
990.67,116,0.566,0.566
990.937,116,0.566,0.566
991.204,117,0.571,0.566
991.471,115,0.562,0.566
991.738,118,0.576,0.571
992.005,115,0.562,0.571
992.272,117,0.571,0.571
992.539,117,0.571,0.571
992.806,115,0.562,0.571
993.073,118,0.576,0.571
993.34,115,0.562,0.566
993.607,117,0.571,0.566
993.874,116,0.566,0.566
994.141,116,0.566,0.566
994.408,119,0.581,0.566
994.675,115,0.562,0.566
994.942,117,0.571,0.566
995.209,116,0.566,0.566
995.476,116,0.566,0.566
995.743,117,0.571,0.566
996.01,115,0.562,0.566
996.277,118,0.576,0.571
996.544,115,0.562,0.571
996.811,117,0.571,0.571
997.078,117,0.571,0.571
997.345,115,0.562,0.571
997.612,118,0.576,0.571
997.879,115,0.562,0.566
998.146,117,0.571,0.566
998.413,116,0.566,0.566
998.68,116,0.566,0.566
998.947,118,0.576,0.566
999.214,115,0.562,0.566
999.481,117,0.571,0.566
999.748,116,0.566,0.566
1000.015,116,0.566,0.566
1000.284,116,0.566,0.566
1000.553,116,0.566,0.566
1000.822,116,0.566,0.566
1001.091,128,0.625,0.566
1001.36,115,0.562,0.566
1001.629,126,0.615,0.566
1001.898,115,0.562,0.581
1002.167,120,0.586,0.562
