Time (s),Raw ADC,Voltage (V),Voltage_Filtered
166.174,367,1.792,1.768
166.441,362,1.768,1.768
166.708,366,1.787,1.777
166.975,364,1.777,1.777
167.242,362,1.768,1.777
167.509,366,1.787,1.777
167.776,362,1.768,1.777
168.043,372,1.816,1.777
168.31,364,1.777,1.777
168.577,364,1.777,1.777
168.844,366,1.787,1.777
169.111,361,1.763,1.777
169.378,365,1.782,1.772
169.645,363,1.772,1.768
169.912,362,1.768,1.768
170.179,362,1.768,1.768
170.446,361,1.763,1.768
170.713,366,1.787,1.768
170.98,362,1.768,1.772
171.247,365,1.782,1.777
171.514,364,1.777,1.777
171.781,363,1.772,1.777
172.048,367,1.792,1.777
172.315,362,1.768,1.777
172.582,366,1.787,1.777
172.849,364,1.777,1.777
173.116,364,1.777,1.777
173.383,366,1.787,1.777
173.65,362,1.768,1.777
173.917,374,1.826,1.782
174.184,363,1.772,1.782
174.451,371,1.812,1.782
174.718,365,1.782,1.782
174.985,361,1.763,1.777
175.252,366,1.787,1.782
175.519,363,1.772,1.782
175.786,364,1.777,1.782
176.053,365,1.782,1.782
176.32,368,1.797,1.782
176.587,366,1.787,1.782
176.854,363,1.772,1.782
177.121,365,1.782,1.782
177.388,364,1.777,1.777
177.655,363,1.772,1.777
177.922,367,1.792,1.777
178.189,358,1.748,1.777
178.456,365,1.782,1.777
178.723,364,1.777,1.777
178.99,364,1.777,1.777
179.257,366,1.787,1.777
179.524,360,1.758,1.777
179.791,367,1.792,1.777
180.058,363,1.772,1.777
180.325,364,1.777,1.772
180.592,365,1.782,1.772
180.859,361,1.763,1.772
181.126,362,1.768,1.777
181.393,363,1.772,1.782
181.66,367,1.792,1.782
181.927,365,1.782,1.782
182.194,373,1.821,1.782
182.461,366,1.787,1.782
182.728,362,1.768,1.782
182.995,365,1.782,1.782
183.262,364,1.777,1.777
183.529,363,1.772,1.777
183.796,367,1.792,1.777
184.063,362,1.768,1.777
184.33,365,1.782,1.777
184.597,364,1.777,1.777
184.864,364,1.777,1.777
185.131,366,1.787,1.777
185.398,361,1.763,1.777
185.665,368,1.797,1.787
185.932,363,1.772,1.787
186.199,372,1.816,1.782
186.466,366,1.787,1.782
186.733,361,1.763,1.777
187.0,365,1.782,1.782
187.267,363,1.772,1.777
187.534,364,1.777,1.777
187.801,365,1.782,1.777
188.068,362,1.768,1.777
188.335,366,1.787,1.777
188.602,361,1.763,1.777
188.869,364,1.777,1.777
189.136,364,1.777,1.777
189.403,363,1.772,1.777
189.67,376,1.836,1.777
189.937,362,1.768,1.777
190.204,369,1.802,1.782
190.471,361,1.763,1.782
190.738,365,1.782,1.782
191.005,366,1.787,1.782
191.272,362,1.768,1.777
191.539,365,1.782,1.782
191.806,364,1.777,1.777
192.073,363,1.772,1.777
192.34,366,1.787,1.777
192.607,362,1.768,1.777
192.874,365,1.782,1.777
193.141,363,1.772,1.777
193.408,364,1.777,1.777
193.675,365,1.782,1.777
193.942,362,1.768,1.777
194.209,367,1.792,1.782
194.476,362,1.768,1.782
194.743,365,1.782,1.772
195.01,365,1.782,1.772
195.277,363,1.772,1.772
195.544,363,1.772,1.777
195.811,362,1.768,1.777
196.078,374,1.826,1.777
196.345,364,1.777,1.777
196.612,367,1.792,1.782
196.879,366,1.787,1.782
197.146,362,1.768,1.777
197.413,365,1.782,1.782
197.68,361,1.763,1.772
197.947,363,1.772,1.768
198.214,365,1.782,1.772
198.481,362,1.768,1.768
198.748,362,1.768,1.772
199.015,363,1.772,1.768
199.282,362,1.768,1.768
199.549,365,1.782,1.772
199.816,362,1.768,1.772
200.083,367,1.792,1.782
200.35,363,1.772,1.782
200.617,365,1.782,1.782
200.884,365,1.782,1.782
201.151,361,1.763,1.782
201.418,365,1.782,1.782
201.685,362,1.768,1.777
201.952,375,1.831,1.777
202.219,361,1.763,1.777
202.486,364,1.777,1.777
202.753,366,1.787,1.777
