File,Distance (cm),Mean Voltage (V),Std Dev (V),Min (V),Max (V)
calibration_1cm_filtered.csv,1.0,2.678948,0.002809,2.671,2.686
calibration_1.5cm_filtered.csv,1.5,2.309347,0.002531,2.3,2.314
calibration_2cm_filtered.csv,2.0,2.005382,0.006013,1.987,2.021
calibration_2.5cm_filtered.csv,2.5,1.775958,0.004177,1.763,1.787
calibration_3cm_filtered.csv,3.0,1.560806,0.002627,1.553,1.567
calibration_3.5cm_filtered.csv,3.5,1.400327,0.003018,1.392,1.411
calibration_4cm_filtered.csv,4.0,1.282914,0.00247,1.274,1.289
calibration_4.5cm_filtered.csv,4.5,1.162183,0.0028,1.152,1.167
calibration_5cm_filtered.csv,5.0,1.083156,0.00475,1.069,1.099
calibration_5.5cm_filtered.csv,5.5,1.002583,0.004499,0.991,1.011
calibration_6cm_filtered.csv,6.0,0.940571,0.004906,0.933,0.962
calibration_6.5cm_filtered.csv,6.5,0.882483,0.004572,0.869,0.894
calibration_7cm_filtered.csv,7.0,0.827681,0.007577,0.811,0.864
calibration_7.5cm_filtered.csv,7.5,0.781026,0.002993,0.771,0.786
calibration_8cm_filtered.csv,8.0,0.739781,0.00269,0.732,0.747
calibration_8.5cm_filtered.csv,8.5,0.706037,0.002977,0.698,0.723
calibration_9cm_filtered.csv,9.0,0.683628,0.002068,0.679,0.688
calibration_9.5cm_filtered.csv,9.5,0.649893,0.002193,0.64,0.654
calibration_10cm_filtered.csv,10.0,0.633338,0.002792,0.625,0.64
calibration_10.5cm_filtered.csv,10.5,0.601257,0.005867,0.591,0.615
calibration_11cm_filtered.csv,11.0,0.570629,0.006375,0.562,0.62
calibration_11.5cm_filtered.csv,11.5,0.561301,0.003195,0.552,0.576
calibration_12cm_filtered.csv,12.0,0.543784,0.007875,0.537,0.605
calibration_12.5cm_filtered.csv,12.5,0.522512,0.008168,0.513,0.571
calibration_13cm_filtered.csv,13.0,0.506029,0.010522,0.493,0.566
calibration_13.5cm_filtered.csv,13.5,0.521595,0.012627,0.508,0.61
calibration_14cm_filtered.csv,14.0,0.497468,0.015211,0.483,0.576
calibration_14.5cm_filtered.csv,14.5,0.497784,0.00856,0.488,0.576
calibration_15cm_filtered.csv,15.0,0.479724,0.014898,0.464,0.557
calibration_20cm_filtered.csv,20.0,2.589782,0.003521,2.573,2.598
calibration_20.5cm_filtered.csv,20.5,2.55692,0.00522,2.544,2.573
calibration_21cm_filtered.csv,21.0,2.538176,0.0025,2.529,2.544
calibration_21.5cm_filtered.csv,21.5,2.50243,0.003169,2.49,2.515
calibration_22cm_filtered.csv,22.0,2.484444,0.002258,2.476,2.49
calibration_22.5cm_filtered.csv,22.5,2.447835,0.003211,2.437,2.461
calibration_23cm_filtered.csv,23.0,2.412405,0.003205,2.407,2.427
calibration_23.5cm_filtered.csv,23.5,2.388419,0.005787,2.378,2.417
calibration_24cm_filtered.csv,24.0,2.366955,0.002763,2.358,2.383
calibration_24.5cm_filtered.csv,24.5,2.329782,0.002841,2.319,2.339
calibration_25cm_filtered.csv,25.0,2.311953,0.002712,2.3,2.319
