File,Distance (cm),Mean Voltage (V),Estimated Distance (cm),Absolute Error (cm),Relative Error (%)
calibration_1cm.csv,1.0,1.2553,4.7724,3.7724,377.24
calibration_1.5cm.csv,1.5,1.0942,5.454,3.954,263.6
calibration_2cm.csv,2.0,1.1738,5.1067,3.1067,155.33
calibration_2.5cm.csv,2.5,1.7265,3.1773,0.6773,27.09
calibration_3cm.csv,3.0,2.1551,2.135,0.865,28.83
calibration_3.5cm.csv,3.5,2.1517,2.145,1.355,38.72
calibration_4cm.csv,4.0,1.758,3.1,0.9,22.5
calibration_4.5cm.csv,4.5,1.5571,3.6436,0.8564,19.03
calibration_5cm.csv,5.0,1.818,2.958,2.042,40.84
calibration_5.5cm.csv,5.5,1.7488,3.1224,2.3776,43.23
calibration_6cm.csv,6.0,1.733,3.1612,2.8388,47.31
calibration_6.5cm.csv,6.5,1.684,3.2856,3.2144,49.45
calibration_7cm.csv,7.0,1.697,3.2518,3.7482,53.55
calibration_7.5cm.csv,7.5,1.7631,3.0877,4.4123,58.83
calibration_8cm.csv,8.0,1.9103,2.7472,5.2528,65.66
calibration_8.5cm.csv,8.5,1.9851,2.5745,5.9255,69.71
calibration_9cm.csv,9.0,1.9972,2.5458,6.4542,71.71
calibration_9.5cm.csv,9.5,2.4224,1.136,8.364,88.04
calibration_10cm.csv,10.0,2.5489,0.4484,9.5516,95.52
calibration_10.5cm.csv,10.5,2.7009,-0.6279,11.1279,105.98
calibration_11cm.csv,11.0,2.7872,-1.3825,12.3825,112.57
calibration_11.5cm.csv,11.5,2.93,-2.8972,14.3972,125.19
calibration_12cm.csv,12.0,3.0018,-3.797,15.797,131.64
calibration_12.5cm.csv,12.5,3.0162,-3.9899,16.4899,131.92
calibration_13cm.csv,13.0,3.0465,-4.4075,17.4075,133.9
calibration_13.5cm.csv,13.5,3.045,-4.3874,17.8874,132.5
calibration_14cm.csv,14.0,3.0203,-4.0444,18.0444,128.89
calibration_14.5cm.csv,14.5,3.0139,-3.9588,18.4588,127.3
calibration_15cm.csv,15.0,2.9972,-3.7365,18.7365,124.91
