Time (s),Raw ADC,Voltage (V)
1799.752,194,0.947
1800.021,194,0.947
1800.29,195,0.952
1800.559,194,0.947
1800.828,194,0.947
1801.097,194,0.947
1801.366,195,0.952
1801.635,200,0.977
1801.904,194,0.947
1802.173,195,0.952
1802.442,194,0.947
1802.711,194,0.947
1802.98,194,0.947
1803.249,195,0.952
1803.518,194,0.947
1803.787,195,0.952
1804.056,195,0.952
1804.325,194,0.947
1804.594,196,0.957
1804.863,196,0.957
1805.132,196,0.957
1805.401,196,0.957
1805.67,196,0.957
1805.939,196,0.957
1806.208,195,0.952
1806.477,196,0.957
1806.746,195,0.952
1807.015,195,0.952
1807.284,195,0.952
1807.553,195,0.952
1807.822,194,0.947
1808.091,194,0.947
1808.36,195,0.952
1808.629,194,0.947
1808.898,194,0.947
1809.167,194,0.947
1809.436,194,0.947
1809.705,194,0.947
1809.974,194,0.947
1810.243,194,0.947
1810.512,197,0.962
1810.781,194,0.947
1811.05,194,0.947
1811.319,194,0.947
1811.588,194,0.947
1811.857,194,0.947
1812.126,194,0.947
1812.395,194,0.947
1812.664,196,0.957
1812.933,194,0.947
1813.202,194,0.947
1813.471,195,0.952
1813.74,196,0.957
1814.009,196,0.957
1814.278,196,0.957
1814.547,195,0.952
1814.816,195,0.952
1815.085,195,0.952
1815.354,196,0.957
1815.623,196,0.957
1815.892,196,0.957
1816.161,195,0.952
1816.43,195,0.952
1816.699,195,0.952
1816.968,195,0.952
1817.237,195,0.952
1817.506,195,0.952
1817.775,196,0.957
1818.044,195,0.952
1818.313,200,0.977
1818.582,195,0.952
1818.851,195,0.952
1819.12,197,0.962
1819.389,195,0.952
1819.658,195,0.952
1819.927,195,0.952
1820.196,195,0.952
1820.465,195,0.952
1820.734,195,0.952
1821.003,195,0.952
1821.272,196,0.957
1821.541,195,0.952
1821.81,195,0.952
1822.079,195,0.952
1822.348,195,0.952
1822.617,197,0.962
1822.886,195,0.952
1823.155,195,0.952
1823.424,195,0.952
1823.693,195,0.952
1823.962,201,0.981
1824.231,196,0.957
1824.5,198,0.967
1824.769,196,0.957
1825.038,195,0.952
1825.307,199,0.972
1825.576,195,0.952
1825.845,195,0.952
1826.114,195,0.952
1826.383,195,0.952
1826.652,195,0.952
1826.921,195,0.952
1827.19,196,0.957
1827.459,198,0.967
1827.728,196,0.957
1827.997,195,0.952
1828.266,195,0.952
1828.535,195,0.952
1828.804,195,0.952
1829.073,196,0.957
1829.342,195,0.952
1829.611,201,0.981
1829.88,195,0.952
1830.149,195,0.952
1830.418,196,0.957
1830.687,195,0.952
1830.956,195,0.952
1831.225,195,0.952
1831.494,196,0.957
1831.763,195,0.952
1832.032,195,0.952
1832.301,195,0.952
1832.57,196,0.957
1832.839,195,0.952
1833.108,200,0.977
1833.377,195,0.952
1833.646,195,0.952
1833.915,196,0.957
1834.184,195,0.952
1834.453,195,0.952
1834.722,195,0.952
1834.991,195,0.952
1835.26,201,0.981
1835.529,195,0.952
1835.798,195,0.952
1836.067,196,0.957
1836.336,195,0.952
1836.605,195,0.952
1836.874,196,0.957
1837.143,195,0.952
1837.412,195,0.952
1837.681,195,0.952
1837.95,195,0.952
1838.219,195,0.952
1838.488,195,0.952
1838.757,201,0.981
1839.026,195,0.952
1839.295,195,0.952
1839.564,195,0.952
1839.833,196,0.957
1840.102,195,0.952
1840.371,196,0.957
1840.64,197,0.962
1840.909,200,0.977
1841.178,195,0.952
1841.447,195,0.952
1841.716,196,0.957
1841.985,195,0.952
1842.254,195,0.952
1842.523,195,0.952
1842.792,194,0.947
1843.061,196,0.957
1843.33,194,0.947
1843.599,195,0.952
1843.868,196,0.957
1844.137,196,0.957
1844.406,196,0.957
1844.675,196,0.957
1844.944,196,0.957
1845.213,196,0.957
1845.482,196,0.957
1845.751,195,0.952
1846.02,196,0.957
1846.289,195,0.952
1846.558,201,0.981
1846.827,195,0.952
1847.096,196,0.957
1847.365,197,0.962
1847.634,196,0.957
1847.903,195,0.952
1848.172,195,0.952
1848.441,194,0.947
1848.71,194,0.947
1848.979,194,0.947
1849.248,194,0.947
1849.517,195,0.952
1849.786,194,0.947
1850.055,194,0.947
1850.324,194,0.947
1850.593,194,0.947
1850.862,194,0.947
1851.131,194,0.947
1851.4,194,0.947
1851.669,194,0.947
1851.938,194,0.947
1852.207,194,0.947
1852.476,194,0.947
1852.745,194,0.947
1853.014,194,0.947
1853.283,194,0.947
1853.552,194,0.947
1853.821,194,0.947
1854.09,197,0.962
1854.359,194,0.947
1854.628,194,0.947
1854.897,194,0.947
1855.166,194,0.947
1855.435,194,0.947
1855.704,194,0.947
1855.973,194,0.947
1856.242,196,0.957
1856.511,196,0.957
1856.78,196,0.957
1857.049,196,0.957
1857.318,196,0.957
1857.587,196,0.957
1857.856,199,0.972
1858.125,196,0.957
1858.394,196,0.957
1858.663,196,0.957
1858.932,196,0.957
1859.201,196,0.957
1859.47,196,0.957
1859.739,196,0.957
1860.008,196,0.957
1860.277,199,0.972
1860.546,196,0.957
1860.815,195,0.952
1861.084,196,0.957
1861.353,196,0.957
1861.622,196,0.957
1861.891,196,0.957
1862.16,196,0.957
1862.429,196,0.957
1862.698,196,0.957
1862.967,196,0.957
1863.236,196,0.957
1863.505,196,0.957
1863.774,195,0.952
1864.043,201,0.981
1864.312,196,0.957
1864.581,196,0.957
1864.85,195,0.952
1865.119,196,0.957
1865.388,196,0.957
1865.657,196,0.957
1865.926,196,0.957
1866.195,196,0.957
1866.464,198,0.967
1866.733,196,0.957
1867.002,196,0.957
1867.271,196,0.957
1867.54,195,0.952
1867.809,196,0.957
1868.078,196,0.957
1868.347,196,0.957
1868.616,196,0.957
1868.885,196,0.957
1869.154,196,0.957
1869.423,195,0.952
1869.692,196,0.957
1869.961,196,0.957
1870.23,195,0.952
1870.499,195,0.952
1870.768,196,0.957
1871.037,195,0.952
1871.306,196,0.957
1871.575,195,0.952
1871.844,195,0.952
1872.113,195,0.952
1872.382,196,0.957
1872.651,197,0.962
1872.92,195,0.952
1873.189,196,0.957
1873.458,196,0.957
1873.727,195,0.952
1873.996,196,0.957
1874.265,196,0.957
1874.534,196,0.957
1874.803,196,0.957
1875.072,195,0.952
1875.341,195,0.952
1875.61,196,0.957
1875.879,196,0.957
1876.148,195,0.952
1876.417,198,0.967
1876.686,196,0.957
1876.955,196,0.957
1877.224,196,0.957
1877.493,196,0.957
1877.762,196,0.957
1878.031,195,0.952
1878.3,196,0.957
1878.569,196,0.957
1878.838,195,0.952
1879.107,196,0.957
1879.376,196,0.957
1879.645,196,0.957
1879.914,196,0.957
1880.183,196,0.957
1880.452,196,0.957
1880.721,195,0.952
1880.99,198,0.967
1881.259,196,0.957
1881.528,196,0.957
1881.797,195,0.952
1882.066,196,0.957
1882.335,196,0.957
1882.604,196,0.957
1882.873,195,0.952
1883.142,196,0.957
1883.411,195,0.952
1883.68,196,0.957
1883.949,201,0.981
1884.218,195,0.952
1884.487,196,0.957
1884.756,196,0.957
1885.025,196,0.957
1885.294,196,0.957
1885.563,201,0.981
1885.832,196,0.957
1886.101,196,0.957
1886.37,196,0.957
1886.639,196,0.957
1886.908,196,0.957
1887.177,200,0.977
1887.446,196,0.957
1887.715,196,0.957
1887.984,195,0.952
1888.253,195,0.952
1888.522,196,0.957
1888.791,200,0.977
1889.06,196,0.957
1889.329,196,0.957
1889.598,196,0.957
1889.867,196,0.957
1890.136,196,0.957
1890.405,196,0.957
1890.674,196,0.957
1890.943,196,0.957
1891.212,201,0.981
1891.481,196,0.957
1891.75,196,0.957
1892.019,196,0.957
1892.288,196,0.957
1892.557,196,0.957
1892.826,197,0.962
1893.095,196,0.957
1893.364,196,0.957
1893.633,195,0.952
1893.902,196,0.957
1894.171,196,0.957
1894.44,199,0.972
1894.709,195,0.952
1894.978,196,0.957
1895.247,196,0.957
1895.516,196,0.957
1895.785,196,0.957
1896.054,196,0.957
1896.323,195,0.952
1896.592,196,0.957
1896.861,196,0.957
1897.13,196,0.957
1897.399,197,0.962
1897.668,196,0.957
1897.937,195,0.952
1898.206,196,0.957
1898.475,196,0.957
1898.744,196,0.957
1899.013,196,0.957
1899.282,195,0.952
1899.551,201,0.981
1899.82,196,0.957
1900.089,196,0.957
1900.358,196,0.957
1900.627,196,0.957
1900.896,196,0.957
1901.165,196,0.957
1901.434,196,0.957
