Time (s),Raw ADC,Voltage (V)
311.884,124,0.605
312.151,124,0.605
312.418,123,0.601
312.685,123,0.601
312.952,123,0.601
313.219,123,0.601
313.486,123,0.601
313.753,123,0.601
314.02,123,0.601
314.287,125,0.61
314.554,123,0.601
314.821,124,0.605
315.088,123,0.601
315.355,123,0.601
315.622,123,0.601
315.889,123,0.601
316.156,123,0.601
316.423,123,0.601
316.69,124,0.605
316.957,123,0.601
317.224,123,0.601
317.491,124,0.605
317.758,123,0.601
318.025,123,0.601
318.292,124,0.605
318.559,123,0.601
318.826,124,0.605
319.093,123,0.601
319.36,123,0.601
319.627,124,0.605
319.894,123,0.601
320.161,123,0.601
320.428,123,0.601
320.695,123,0.601
320.962,123,0.601
321.229,123,0.601
321.496,123,0.601
321.763,124,0.605
322.03,124,0.605
322.297,123,0.601
322.564,123,0.601
322.831,124,0.605
323.098,123,0.601
323.365,124,0.605
323.632,123,0.601
323.899,123,0.601
324.166,123,0.601
324.433,123,0.601
324.7,123,0.601
324.967,124,0.605
325.234,123,0.601
325.501,123,0.601
325.768,123,0.601
326.035,123,0.601
326.302,123,0.601
326.569,123,0.601
326.836,123,0.601
327.103,123,0.601
327.37,123,0.601
327.637,123,0.601
327.904,123,0.601
328.171,124,0.605
328.438,124,0.605
328.705,123,0.601
328.972,123,0.601
329.239,123,0.601
329.506,123,0.601
329.773,123,0.601
330.04,129,0.63
330.307,123,0.601
330.574,126,0.615
330.841,122,0.596
331.108,123,0.601
331.375,123,0.601
331.642,123,0.601
331.909,124,0.605
332.176,123,0.601
332.443,123,0.601
332.71,124,0.605
332.977,123,0.601
333.244,124,0.605
333.511,123,0.601
333.778,124,0.605
334.045,123,0.601
334.312,123,0.601
334.579,123,0.601
334.846,123,0.601
335.113,123,0.601
335.38,124,0.605
335.647,123,0.601
335.914,124,0.605
336.181,124,0.605
336.448,124,0.605
336.715,123,0.601
336.982,123,0.601
337.249,123,0.601
337.516,123,0.601
337.783,123,0.601
338.05,123,0.601
338.317,123,0.601
338.584,124,0.605
338.851,123,0.601
339.118,124,0.605
339.385,123,0.601
339.652,123,0.601
339.919,123,0.601
340.186,123,0.601
340.453,124,0.605
340.72,123,0.601
340.987,123,0.601
341.254,130,0.635
341.521,123,0.601
341.788,129,0.63
342.055,123,0.601
342.322,128,0.625
342.589,124,0.605
342.856,123,0.601
343.123,123,0.601
343.39,123,0.601
343.657,123,0.601
343.924,123,0.601
344.191,123,0.601
344.458,122,0.596
344.725,123,0.601
344.992,123,0.601
345.259,122,0.596
345.526,123,0.601
345.793,123,0.601
346.06,123,0.601
346.327,123,0.601
346.594,123,0.601
346.861,122,0.596
347.128,124,0.605
347.395,123,0.601
347.662,123,0.601
347.929,123,0.601
348.196,123,0.601
348.463,126,0.615
348.73,123,0.601
348.997,129,0.63
349.264,123,0.601
349.531,123,0.601
349.798,123,0.601
350.065,123,0.601
350.332,123,0.601
350.599,123,0.601
350.866,123,0.601
351.133,122,0.596
351.4,123,0.601
351.667,123,0.601
351.934,123,0.601
352.201,123,0.601
352.468,124,0.605
352.735,123,0.601
353.002,124,0.605
353.269,123,0.601
353.536,124,0.605
353.803,123,0.601
354.07,123,0.601
354.337,123,0.601
354.604,123,0.601
354.871,123,0.601
355.138,129,0.63
355.405,123,0.601
355.672,123,0.601
355.939,123,0.601
356.206,123,0.601
356.473,123,0.601
356.74,123,0.601
357.007,124,0.605
357.274,123,0.601
357.541,124,0.605
357.808,123,0.601
358.075,123,0.601
358.342,122,0.596
358.609,123,0.601
358.876,124,0.605
359.143,123,0.601
359.41,122,0.596
359.677,128,0.625
359.944,123,0.601
360.211,124,0.605
360.478,123,0.601
360.745,123,0.601
361.012,122,0.596
361.279,122,0.596
361.546,123,0.601
361.813,123,0.601
362.08,123,0.601
362.347,124,0.605
362.614,122,0.596
362.881,123,0.601
363.148,123,0.601
363.415,123,0.601
363.682,123,0.601
363.949,123,0.601
364.216,124,0.605
364.483,123,0.601
364.75,129,0.63
365.017,123,0.601
365.284,123,0.601
365.551,123,0.601
365.818,123,0.601
366.085,123,0.601
366.352,123,0.601
366.619,123,0.601
366.886,123,0.601
367.153,123,0.601
367.42,123,0.601
367.687,123,0.601
367.954,123,0.601
368.221,125,0.61
368.488,123,0.601
368.755,129,0.63
369.022,123,0.601
369.289,123,0.601
369.556,124,0.605
369.823,123,0.601
370.09,123,0.601
370.357,123,0.601
370.624,123,0.601
370.891,123,0.601
