Time (s),Raw ADC,Voltage (V)
1447.261,102,0.498
1447.53,101,0.493
1447.799,102,0.498
1448.068,102,0.498
1448.337,102,0.498
1448.606,102,0.498
1448.875,107,0.522
1449.144,102,0.498
1449.413,102,0.498
1449.682,102,0.498
1449.951,102,0.498
1450.22,102,0.498
1450.489,102,0.498
1450.758,107,0.522
1451.027,102,0.498
1451.296,102,0.498
1451.565,101,0.493
1451.834,102,0.498
1452.103,102,0.498
1452.372,102,0.498
1452.641,102,0.498
1452.91,102,0.498
1453.179,102,0.498
1453.448,102,0.498
1453.717,102,0.498
1453.986,108,0.527
1454.255,102,0.498
1454.524,102,0.498
1454.793,102,0.498
1455.062,102,0.498
1455.331,103,0.503
1455.6,102,0.498
1455.869,102,0.498
1456.138,102,0.498
1456.407,102,0.498
1456.676,102,0.498
1456.945,102,0.498
1457.214,102,0.498
1457.483,102,0.498
1457.752,102,0.498
1458.021,102,0.498
1458.29,102,0.498
1458.559,107,0.522
1458.828,102,0.498
1459.097,102,0.498
1459.366,102,0.498
1459.635,101,0.493
1459.904,102,0.498
1460.173,102,0.498
1460.442,102,0.498
1460.711,102,0.498
1460.98,102,0.498
1461.249,102,0.498
1461.518,102,0.498
1461.787,102,0.498
1462.056,102,0.498
1462.325,102,0.498
1462.594,102,0.498
1462.863,102,0.498
1463.132,108,0.527
1463.401,102,0.498
1463.67,102,0.498
1463.939,101,0.493
1464.208,102,0.498
1464.477,101,0.493
1464.746,102,0.498
1465.015,102,0.498
1465.284,102,0.498
1465.553,102,0.498
1465.822,102,0.498
1466.091,101,0.493
1466.36,102,0.498
1466.629,102,0.498
1466.898,102,0.498
1467.167,102,0.498
1467.436,102,0.498
1467.705,102,0.498
1467.974,101,0.493
1468.243,102,0.498
1468.512,102,0.498
1468.781,105,0.513
1469.05,102,0.498
1469.319,102,0.498
1469.588,102,0.498
1469.857,102,0.498
1470.126,102,0.498
1470.395,102,0.498
1470.664,108,0.527
1470.933,102,0.498
1471.202,102,0.498
1471.471,102,0.498
1471.74,102,0.498
1472.009,102,0.498
1472.278,102,0.498
1472.547,101,0.493
1472.816,101,0.493
1473.085,101,0.493
1473.354,102,0.498
1473.623,102,0.498
1473.892,102,0.498
1474.161,102,0.498
1474.43,102,0.498
1474.699,102,0.498
1474.968,107,0.522
1475.237,102,0.498
1475.506,102,0.498
1475.775,102,0.498
1476.044,102,0.498
1476.313,102,0.498
1476.582,102,0.498
1476.851,104,0.508
1477.12,102,0.498
1477.389,101,0.493
1477.658,102,0.498
1477.927,101,0.493
1478.196,102,0.498
1478.465,102,0.498
1478.734,102,0.498
1479.003,102,0.498
1479.272,102,0.498
1479.541,102,0.498
1479.81,102,0.498
1480.079,102,0.498
1480.348,102,0.498
1480.617,102,0.498
1480.886,102,0.498
1481.155,102,0.498
1481.424,102,0.498
1481.693,102,0.498
1481.962,102,0.498
1482.231,101,0.493
1482.5,103,0.503
1482.769,102,0.498
1483.038,105,0.513
1483.307,102,0.498
1483.576,102,0.498
1483.845,102,0.498
1484.114,102,0.498
1484.383,102,0.498
1484.652,102,0.498
1484.921,102,0.498
1485.19,102,0.498
1485.459,101,0.493
1485.728,102,0.498
1485.997,101,0.493
1486.266,102,0.498
1486.535,102,0.498
1486.804,101,0.493
1487.073,102,0.498
1487.342,102,0.498
1487.611,102,0.498
1487.88,102,0.498
1488.149,102,0.498
1488.418,102,0.498
1488.687,102,0.498
1488.956,102,0.498
1489.225,104,0.508
1489.494,102,0.498
1489.763,107,0.522
1490.032,102,0.498
1490.301,102,0.498
1490.57,101,0.493
1490.839,102,0.498
1491.108,102,0.498
1491.377,102,0.498
1491.646,108,0.527
1491.915,102,0.498
1492.184,102,0.498
1492.453,102,0.498
1492.722,102,0.498
1492.991,102,0.498
1493.26,102,0.498
1493.529,102,0.498
1493.798,102,0.498
1494.067,102,0.498
1494.336,102,0.498
1494.605,102,0.498
1494.874,102,0.498
1495.143,101,0.493
1495.412,102,0.498
1495.681,102,0.498
1495.95,102,0.498
1496.219,102,0.498
1496.488,102,0.498
1496.757,102,0.498
1497.026,102,0.498
1497.295,102,0.498
1497.564,101,0.493
1497.833,108,0.527
1498.102,102,0.498
1498.371,102,0.498
1498.64,102,0.498
1498.909,102,0.498
1499.178,102,0.498
1499.447,102,0.498
1499.716,102,0.498
1499.985,102,0.498
1500.254,107,0.522
1500.523,102,0.498
1500.792,102,0.498
1501.061,102,0.498
1501.33,102,0.498
1501.599,102,0.498
1501.868,102,0.498
1502.137,102,0.498
1502.406,102,0.498
1502.675,101,0.493
1502.944,102,0.498
1503.213,102,0.498
1503.482,102,0.498
1503.751,102,0.498
1504.02,102,0.498
1504.289,102,0.498
1504.558,108,0.527
1504.827,102,0.498
1505.096,102,0.498
1505.365,102,0.498
1505.634,102,0.498
1505.903,102,0.498
1506.172,102,0.498
1506.441,102,0.498
1506.71,102,0.498
1506.979,108,0.527
1507.248,102,0.498
1507.517,102,0.498
1507.786,102,0.498
1508.055,102,0.498
1508.324,102,0.498
1508.593,102,0.498
1508.862,102,0.498
1509.131,102,0.498
1509.4,102,0.498
1509.669,102,0.498
1509.938,102,0.498
1510.207,102,0.498
1510.476,102,0.498
1510.745,101,0.493
1511.014,102,0.498
1511.283,102,0.498
1511.552,102,0.498
1511.821,102,0.498
1512.09,102,0.498
1512.359,102,0.498
1512.628,108,0.527
1512.897,102,0.498
1513.166,102,0.498
1513.435,102,0.498
1513.704,102,0.498
1513.973,102,0.498
1514.242,102,0.498
