Time (s),Raw ADC,Voltage (V)
862.777,124,0.605
863.044,122,0.596
863.311,122,0.596
863.578,125,0.61
863.845,120,0.586
864.112,121,0.591
864.379,126,0.615
864.646,119,0.581
864.913,122,0.596
865.18,123,0.601
865.447,122,0.596
865.714,121,0.591
865.981,122,0.596
866.248,127,0.62
866.515,119,0.581
866.782,125,0.61
867.049,122,0.596
867.316,125,0.61
867.583,127,0.62
867.85,122,0.596
868.117,140,0.684
868.384,124,0.605
868.651,127,0.62
868.918,122,0.596
869.185,119,0.581
869.452,122,0.596
869.719,122,0.596
869.986,137,0.669
870.253,125,0.61
870.52,124,0.605
870.787,122,0.596
871.054,123,0.601
871.321,121,0.591
871.588,122,0.596
871.855,122,0.596
872.122,126,0.615
872.389,122,0.596
872.656,121,0.591
872.923,124,0.605
873.19,121,0.591
873.457,127,0.62
873.724,123,0.601
873.991,122,0.596
874.258,120,0.586
874.525,125,0.61
874.792,126,0.615
875.059,119,0.581
875.326,127,0.62
875.593,124,0.605
875.86,122,0.596
876.127,125,0.61
876.394,119,0.581
876.661,139,0.679
876.928,119,0.581
877.195,130,0.635
877.462,121,0.591
877.729,125,0.61
877.996,125,0.61
878.263,119,0.581
878.53,125,0.61
878.797,124,0.605
879.064,134,0.654
879.331,126,0.615
879.598,122,0.596
879.865,126,0.615
880.132,124,0.605
880.399,121,0.591
880.666,126,0.615
880.933,121,0.591
881.2,123,0.601
881.467,123,0.601
881.734,126,0.615
882.001,121,0.591
882.268,121,0.591
882.535,125,0.61
882.802,119,0.581
883.069,121,0.591
883.336,125,0.61
883.603,133,0.649
883.87,122,0.596
884.137,124,0.605
884.404,121,0.591
884.671,124,0.605
884.938,124,0.605
885.205,123,0.601
885.472,124,0.605
885.739,122,0.596
886.006,122,0.596
886.273,125,0.61
886.54,126,0.615
886.807,122,0.596
887.074,135,0.659
887.341,123,0.601
887.608,129,0.63
887.875,122,0.596
888.142,121,0.591
888.409,121,0.591
888.676,119,0.581
888.943,121,0.591
889.21,125,0.61
889.477,119,0.581
889.744,122,0.596
890.011,122,0.596
890.278,121,0.591
890.545,124,0.605
890.812,121,0.591
891.079,128,0.625
891.346,122,0.596
891.613,122,0.596
891.88,124,0.605
892.147,121,0.591
892.414,126,0.615
892.681,119,0.581
892.948,136,0.664
893.215,124,0.605
893.482,126,0.615
893.749,121,0.591
894.016,119,0.581
894.283,125,0.61
894.55,119,0.581
894.817,137,0.669
895.084,125,0.61
895.351,125,0.61
895.618,122,0.596
895.885,122,0.596
896.152,121,0.591
896.419,122,0.596
896.686,127,0.62
896.953,126,0.615
897.22,122,0.596
897.487,126,0.615
897.754,120,0.586
898.021,125,0.61
898.288,125,0.61
898.555,122,0.596
898.822,125,0.61
899.089,123,0.601
899.356,121,0.591
899.623,121,0.591
899.89,121,0.591
900.157,122,0.596
900.424,122,0.596
900.691,125,0.61
900.958,124,0.605
901.225,123,0.601
901.492,122,0.596
901.759,122,0.596
902.026,125,0.61
902.293,120,0.586
902.56,125,0.61
902.827,122,0.596
903.094,119,0.581
903.361,122,0.596
903.628,123,0.601
903.895,121,0.591
904.162,125,0.61
904.429,122,0.596
904.696,126,0.615
904.963,122,0.596
905.23,125,0.61
905.497,124,0.605
905.764,122,0.596
906.031,129,0.63
906.298,122,0.596
906.565,123,0.601
906.832,123,0.601
907.099,125,0.61
907.366,122,0.596
907.633,122,0.596
907.9,133,0.649
908.167,119,0.581
908.434,125,0.61
908.701,125,0.61
908.968,119,0.581
909.235,129,0.63
909.502,122,0.596
909.769,131,0.64
910.036,125,0.61
910.303,122,0.596
910.57,122,0.596
910.837,119,0.581
911.104,121,0.591
911.371,122,0.596
911.638,139,0.679
