Time (s),Raw ADC,Voltage (V)
483.37,139,0.679
483.637,141,0.688
483.904,139,0.679
484.171,140,0.684
484.438,141,0.688
484.705,138,0.674
484.972,141,0.688
485.239,139,0.679
485.506,140,0.684
485.773,140,0.684
486.04,139,0.679
486.307,151,0.737
486.574,139,0.679
486.841,146,0.713
487.108,140,0.684
487.375,141,0.688
487.642,141,0.688
487.909,139,0.679
488.176,140,0.684
488.443,139,0.679
488.71,139,0.679
488.977,141,0.688
489.244,138,0.674
489.511,141,0.688
489.778,139,0.679
490.045,140,0.684
490.312,141,0.688
490.579,138,0.674
490.846,141,0.688
491.113,139,0.679
491.38,140,0.684
491.647,140,0.684
491.914,139,0.679
492.181,147,0.718
492.448,139,0.679
492.715,152,0.742
492.982,140,0.684
493.249,143,0.698
493.516,141,0.688
493.783,139,0.679
494.05,140,0.684
494.317,139,0.679
494.584,139,0.679
494.851,141,0.688
495.118,138,0.674
495.385,141,0.688
495.652,139,0.679
495.919,140,0.684
496.186,141,0.688
496.453,139,0.679
496.72,141,0.688
496.987,139,0.679
497.254,140,0.684
497.521,140,0.684
497.788,139,0.679
498.055,151,0.737
498.322,139,0.679
498.589,145,0.708
498.856,140,0.684
499.123,140,0.684
499.39,141,0.688
499.657,139,0.679
499.924,140,0.684
500.191,140,0.684
500.458,147,0.718
500.725,141,0.688
500.992,138,0.674
501.259,141,0.688
501.526,139,0.679
501.793,139,0.679
502.06,141,0.688
502.327,138,0.674
502.594,141,0.688
502.861,138,0.674
503.128,140,0.684
503.395,140,0.684
503.662,138,0.674
503.929,141,0.688
504.196,138,0.674
504.463,140,0.684
504.73,140,0.684
504.997,139,0.679
505.264,142,0.693
505.531,138,0.674
505.798,141,0.688
506.065,139,0.679
506.332,140,0.684
506.599,141,0.688
506.866,138,0.674
507.133,141,0.688
507.4,139,0.679
507.667,140,0.684
507.934,140,0.684
508.201,138,0.674
508.468,149,0.728
508.735,139,0.679
509.002,141,0.688
509.269,139,0.679
509.536,139,0.679
509.803,141,0.688
510.07,139,0.679
510.337,150,0.732
510.604,139,0.679
510.871,144,0.703
511.138,141,0.688
511.405,138,0.674
511.672,140,0.684
