Time (s),Raw ADC,Voltage (V),Voltage_Filtered
6405.892,611,2.983,2.954
6406.112,605,2.954,2.979
6406.332,611,2.983,2.979
6406.552,610,2.979,2.979
6406.772,606,2.959,2.983
6406.992,637,3.11,2.979
6407.212,612,2.988,2.983
6407.432,608,2.969,2.983
6407.652,611,2.983,2.974
6407.872,609,2.974,2.974
6408.092,609,2.974,2.983
6408.312,650,3.174,2.979
6408.532,611,2.983,2.983
6408.752,610,2.979,2.983
6408.972,611,2.983,2.983
6409.192,609,2.974,2.983
6409.412,611,2.983,2.983
6409.632,683,3.335,2.988
6409.852,612,2.988,2.988
6410.072,612,2.988,2.988
6410.292,611,2.983,2.983
6410.512,607,2.964,2.983
6410.732,611,2.983,2.983
6410.952,673,3.286,2.988
6411.172,615,3.003,2.988
6411.392,612,2.988,2.988
6411.612,611,2.983,2.983
6411.832,605,2.954,2.983
6412.052,611,2.983,2.979
6412.272,610,2.979,2.979
6412.492,606,2.959,2.983
6412.712,614,2.998,2.979
6412.932,611,2.983,2.983
6413.152,607,2.964,2.983
6413.372,611,2.983,2.974
6413.592,609,2.974,2.974
6413.812,609,2.974,2.979
6414.032,618,3.018,2.979
6414.252,610,2.979,2.983
6414.472,611,2.983,2.983
6414.692,611,2.983,2.983
6414.912,608,2.969,2.983
6415.132,611,2.983,2.983
6415.352,618,3.018,2.983
6415.572,609,2.974,2.983
6415.792,612,2.988,2.983
6416.012,611,2.983,2.983
6416.232,607,2.964,2.983
6416.452,611,2.983,2.983
6416.672,687,3.354,2.983
6416.892,609,2.974,2.983
6417.112,612,2.988,2.979
6417.332,610,2.979,2.979
6417.552,605,2.954,2.983
6417.772,611,2.983,2.979
6417.992,685,3.345,2.983
6418.212,606,2.959,2.983
6418.432,612,2.988,2.979
6418.652,610,2.979,2.979
6418.872,607,2.964,2.979
6419.092,611,2.983,2.974
6419.312,609,2.974,2.974
6419.532,608,2.969,2.974
6419.752,612,2.988,2.974
6419.972,609,2.974,2.979
6420.192,610,2.979,2.979
6420.412,611,2.983,2.979
6420.632,608,2.969,2.983
6420.852,611,2.983,2.983
6421.072,613,2.993,2.983
6421.292,609,2.974,2.983
6421.512,612,2.988,2.983
6421.732,611,2.983,2.983
6421.952,606,2.959,2.988
6422.172,681,3.325,2.983
6422.392,616,3.008,2.983
6422.612,607,2.964,2.983
6422.832,611,2.983,2.983
6423.052,611,2.983,2.983
6423.272,604,2.949,2.983
6423.492,648,3.164,2.983
6423.712,631,3.081,2.983
6423.932,606,2.959,2.983
6424.152,611,2.983,2.979
6424.372,610,2.979,2.979
6424.592,607,2.964,2.979
6424.812,610,2.979,2.979
6425.032,632,3.086,2.979
6425.252,608,2.969,2.979
6425.472,611,2.983,2.974
6425.692,609,2.974,2.974
6425.912,609,2.974,2.979
6426.132,610,2.979,2.979
6426.352,681,3.325,2.983
6426.572,611,2.983,2.983
6426.792,612,2.988,2.983
6427.012,608,2.969,2.983
6427.232,611,2.983,2.983
6427.452,611,2.983,2.983
6427.672,607,2.964,2.983
6427.892,627,3.062,2.983
6428.112,612,2.988,2.983
6428.332,607,2.964,2.983
6428.552,611,2.983,2.979
6428.772,610,2.979,2.979
6428.992,605,2.954,2.983
6429.212,687,3.354,2.979
6429.432,612,2.988,2.988
6429.652,606,2.959,2.988
6429.872,612,2.988,2.979
6430.092,610,2.979,2.979
6430.312,607,2.964,2.988
6430.532,684,3.34,2.979
6430.752,612,2.988,2.983
6430.972,608,2.969,2.983
6431.192,611,2.983,2.974
6431.412,609,2.974,2.974
6431.632,609,2.974,2.983
6431.852,684,3.34,2.983
6432.072,612,2.988,2.983
6432.292,611,2.983,2.983
6432.512,611,2.983,2.983
6432.732,608,2.969,2.983
6432.952,611,2.983,2.983
6433.172,685,3.345,2.983
6433.392,610,2.979,2.983
6433.612,612,2.988,2.983
6433.832,611,2.983,2.983
6434.052,607,2.964,2.983
6434.272,611,2.983,2.983
6434.492,660,3.223,2.988
6434.712,614,2.998,2.988
6434.932,612,2.988,2.988
6435.152,611,2.983,2.983
6435.372,605,2.954,2.983
6435.592,611,2.983,2.983
6435.812,663,3.237,2.983
6436.032,607,2.964,2.983
6436.252,612,2.988,2.979
6436.472,610,2.979,2.979
6436.692,609,2.974,2.979
6436.912,611,2.983,2.974
6437.132,609,2.974,2.974
6437.352,609,2.974,2.974
6437.572,612,2.988,2.974
6437.792,609,2.974,2.979
6438.012,610,2.979,2.979
6438.232,611,2.983,2.979
6438.452,608,2.969,2.983
6438.672,674,3.291,2.983
6438.892,617,3.013,2.983
6439.112,609,2.974,2.983
6439.332,611,2.983,2.983
6439.552,611,2.983,2.983
6439.772,606,2.959,2.983
6439.992,662,3.232,2.983
6440.212,621,3.032,2.983
6440.432,606,2.959,2.983
6440.652,611,2.983,2.979
6440.872,610,2.979,2.979
6441.092,606,2.959,2.983
6441.312,637,3.11,2.979
6441.532,638,3.115,2.988
6441.752,606,2.959,2.988
6441.972,612,2.988,2.979
6442.192,610,2.979,2.979
6442.412,608,2.969,2.983
6442.632,611,2.983,2.979
6442.852,667,3.257,2.983
6443.072,609,2.974,2.983
6443.292,612,2.988,2.983
6443.512,609,2.974,2.983
6443.732,611,2.983,2.983
6443.952,611,2.983,2.983
6444.172,608,2.969,2.983
6444.392,682,3.33,2.983
6444.612,618,3.018,2.983
6444.832,608,2.969,2.983
6445.052,611,2.983,2.983
6445.272,611,2.983,2.983
6445.492,607,2.964,2.983
6445.712,611,2.983,2.983
6445.932,679,3.315,2.988
6446.152,612,2.988,2.988
6446.372,612,2.988,2.988
6446.592,611,2.983,2.988
6446.812,606,2.959,2.983
6447.032,612,2.988,2.974
6447.252,609,2.974,2.974
6447.472,607,2.964,2.983
6447.692,616,3.008,2.974
6447.912,611,2.983,2.983
6448.132,608,2.969,2.983
6448.352,611,2.983,2.974
6448.572,609,2.974,2.974
6448.792,609,2.974,2.983
6449.012,684,3.34,2.983
6449.232,613,2.993,2.983
6449.452,611,2.983,2.983
6449.672,611,2.983,2.983
6449.892,608,2.969,2.983
6450.112,611,2.983,2.983
6450.332,610,2.979,2.983
6450.552,654,3.193,2.988
6450.772,628,3.066,2.988
6450.992,612,2.988,2.988
6451.212,606,2.959,2.983
6451.432,611,2.983,2.983
6451.652,611,2.983,2.983
6451.872,604,2.949,2.983
6452.092,611,2.983,2.983
6452.312,683,3.335,2.983
6452.532,606,2.959,2.983
6452.752,612,2.988,2.979
6452.972,610,2.979,2.979
6453.192,607,2.964,2.979
6453.412,611,2.983,2.974
6453.632,609,2.974,2.974
6453.852,608,2.969,2.983
6454.072,686,3.35,2.979
6454.292,613,2.993,2.983
6454.512,610,2.979,2.983
6454.732,611,2.983,2.983
6454.952,609,2.974,2.983
6455.172,611,2.983,2.983
6455.392,611,2.983,2.983
6455.612,676,3.301,2.988
6455.832,615,3.003,2.988
6456.052,612,2.988,2.988
6456.272,608,2.969,2.983
6456.492,611,2.983,2.983
6456.712,611,2.983,2.983
6456.932,606,2.959,2.983
6457.152,684,3.34,2.983
6457.372,614,2.998,2.983
6457.592,605,2.954,2.983
6457.812,611,2.983,2.979
6458.032,610,2.979,2.979
6458.252,606,2.959,2.983
6458.472,611,2.983,2.979
6458.692,683,3.335,2.983
6458.912,607,2.964,2.983
6459.132,612,2.988,2.979
6459.352,610,2.979,2.979
6459.572,608,2.969,2.979
6459.792,611,2.983,2.979
6460.012,609,2.974,2.979
6460.232,610,2.979,2.979
6460.452,614,2.998,2.979
6460.672,609,2.974,2.983
6460.892,612,2.988,2.983
6461.112,611,2.983,2.983
6461.332,607,2.964,2.983
6461.552,611,2.983,2.983
6461.772,684,3.34,2.983
6461.992,611,2.983,2.983
6462.212,612,2.988,2.983
6462.432,610,2.979,2.983
6462.652,605,2.954,2.979
6462.872,611,2.983,2.979
6463.092,610,2.979,2.979
6463.312,606,2.959,2.983
6463.532,619,3.022,2.979
6463.752,611,2.983,2.983
6463.972,606,2.959,2.983
6464.192,611,2.983,2.979
6464.412,610,2.979,2.979
6464.632,607,2.964,2.983
6464.852,670,3.271,2.979
6465.072,622,3.037,2.988
6465.292,609,2.974,2.988
6465.512,612,2.988,2.979
6465.732,610,2.979,2.979
6465.952,610,2.979,2.983
6466.172,611,2.983,2.983
6466.392,669,3.267,2.988
6466.612,616,3.008,2.988
6466.832,612,2.988,2.988
6467.052,608,2.969,2.983
6467.272,611,2.983,2.979
6467.492,610,2.979,2.979
6467.712,606,2.959,2.983
6467.932,631,3.081,2.979
6468.152,612,2.988,2.983
6468.372,606,2.959,2.983
6468.592,611,2.983,2.979
6468.812,610,2.979,2.979
6469.032,605,2.954,2.983
6469.252,629,3.071,2.979
6469.472,611,2.983,2.983
6469.692,606,2.959,2.983
6469.912,611,2.983,2.979
6470.132,610,2.979,2.979
6470.352,608,2.969,2.979
6470.572,618,3.018,2.979
6470.792,610,2.979,2.979
6471.012,610,2.979,2.979
6471.232,611,2.983,2.979
6471.452,609,2.974,2.979
6471.672,610,2.979,2.979
6471.892,618,3.018,2.979
6472.112,609,2.974,2.983
6472.332,612,2.988,2.983
6472.552,611,2.983,2.983
6472.772,608,2.969,2.983
6472.992,611,2.983,2.983
6473.212,683,3.335,2.988
6473.432,614,2.998,2.988
6473.652,612,2.988,2.988
6473.872,611,2.983,2.983
6474.092,606,2.959,2.983
6474.312,611,2.983,2.979
6474.532,610,2.979,2.979
6474.752,605,2.954,2.979
6474.972,614,2.998,2.979
6475.192,610,2.979,2.979
