Time (s),Raw ADC,Voltage (V),Voltage_Filtered
2635.532,252,1.23,1.226
2635.752,251,1.226,1.226
2635.972,253,1.235,1.23
2636.192,250,1.221,1.23
2636.412,252,1.23,1.23
2636.632,282,1.377,1.23
2636.852,252,1.23,1.23
2637.072,253,1.235,1.23
2637.292,252,1.23,1.23
2637.512,249,1.216,1.235
2637.732,253,1.235,1.235
2637.952,301,1.47,1.235
2638.172,258,1.26,1.235
2638.392,253,1.235,1.235
2638.612,252,1.23,1.23
2638.832,246,1.201,1.23
2639.052,252,1.23,1.23
2639.272,252,1.23,1.23
2639.492,247,1.206,1.23
2639.712,254,1.24,1.23
2639.932,252,1.23,1.23
2640.152,249,1.216,1.23
2640.372,252,1.23,1.226
2640.592,251,1.226,1.226
2640.812,250,1.221,1.226
2641.032,258,1.26,1.226
2641.252,251,1.226,1.226
2641.472,251,1.226,1.226
2641.692,252,1.23,1.226
2641.912,250,1.221,1.23
2642.132,252,1.23,1.23
2642.352,260,1.27,1.23
2642.572,250,1.221,1.23
2642.792,253,1.235,1.23
2643.012,252,1.23,1.23
2643.232,248,1.211,1.23
2643.452,252,1.23,1.23
2643.672,320,1.562,1.23
2643.892,249,1.216,1.23
2644.112,253,1.235,1.23
2644.332,252,1.23,1.23
2644.552,247,1.206,1.23
2644.772,252,1.23,1.23
2644.992,309,1.509,1.23
2645.212,247,1.206,1.23
2645.432,253,1.235,1.23
2645.652,252,1.23,1.23
2645.872,248,1.211,1.235
2646.092,253,1.235,1.23
2646.312,298,1.455,1.235
2646.532,250,1.221,1.235
2646.752,253,1.235,1.23
2646.972,252,1.23,1.23
2647.192,251,1.226,1.23
2647.412,252,1.23,1.23
2647.632,291,1.421,1.23
2647.852,252,1.23,1.23
2648.072,253,1.235,1.235
2648.292,250,1.221,1.23
2648.512,253,1.235,1.23
2648.732,252,1.23,1.23
2648.952,249,1.216,1.235
2649.172,315,1.538,1.23
2649.392,256,1.25,1.235
2649.612,248,1.211,1.235
2649.832,253,1.235,1.23
2650.052,252,1.23,1.23
2650.272,246,1.201,1.235
2650.492,308,1.504,1.23
2650.712,257,1.255,1.235
2650.932,247,1.206,1.235
2651.152,253,1.235,1.226
2651.372,251,1.226,1.226
2651.592,248,1.211,1.23
2651.812,252,1.23,1.226
2652.032,297,1.45,1.23
2652.252,250,1.221,1.23
2652.472,252,1.23,1.226
2652.692,251,1.226,1.226
2652.912,251,1.226,1.23
2653.132,252,1.23,1.23
2653.352,279,1.362,1.23
2653.572,252,1.23,1.23
2653.792,253,1.235,1.23
2654.012,250,1.221,1.23
2654.232,252,1.23,1.23
2654.452,252,1.23,1.23
2654.672,248,1.211,1.23
2654.892,315,1.538,1.23
2655.112,255,1.245,1.235
2655.332,248,1.211,1.235
2655.552,253,1.235,1.23
2655.772,252,1.23,1.23
2655.992,246,1.201,1.235
2656.212,295,1.44,1.23
2656.432,264,1.289,1.235
2656.652,247,1.206,1.235
2656.872,253,1.235,1.226
2657.092,251,1.226,1.226
2657.312,248,1.211,1.23
2657.532,252,1.23,1.226
2657.752,316,1.543,1.23
2657.972,249,1.216,1.23
2658.192,252,1.23,1.226
