Time (s),Raw ADC,Voltage (V)
5821.572,620,3.027
5821.792,614,2.998
5822.012,610,2.979
5822.232,613,2.993
5822.452,612,2.988
5822.672,608,2.969
5822.892,624,3.047
5823.112,613,2.993
5823.332,608,2.969
5823.552,614,2.998
5823.772,612,2.988
5823.992,607,2.964
5824.212,629,3.071
5824.432,613,2.993
5824.652,608,2.969
5824.872,613,2.993
5825.092,611,2.983
5825.312,609,2.974
5825.532,650,3.174
5825.752,613,2.993
5825.972,611,2.983
5826.192,612,2.988
5826.412,611,2.983
5826.632,612,2.988
5826.852,685,3.345
5827.072,612,2.988
5827.292,614,2.998
5827.512,613,2.993
5827.732,609,2.974
5827.952,613,2.993
5828.172,679,3.315
5828.392,613,2.993
5828.612,614,2.998
5828.832,612,2.988
5829.052,608,2.969
5829.272,612,2.988
5829.492,679,3.315
5829.712,607,2.964
5829.932,614,2.998
5830.152,612,2.988
5830.372,608,2.969
5830.592,613,2.993
5830.812,678,3.311
5831.032,609,2.974
5831.252,614,2.998
5831.472,612,2.988
5831.692,611,2.983
5831.912,613,2.993
5832.132,683,3.335
5832.352,612,2.988
5832.572,613,2.993
5832.792,610,2.979
5833.012,613,2.993
5833.232,613,2.993
5833.452,637,3.11
5833.672,614,2.998
5833.892,613,2.993
5834.112,609,2.974
5834.332,613,2.993
5834.552,654,3.193
5834.772,614,2.998
5834.992,614,2.998
5835.212,613,2.993
5835.432,606,2.959
5835.652,613,2.993
5835.872,684,3.34
5836.092,607,2.964
5836.312,613,2.993
5836.532,612,2.988
5836.752,610,2.979
5836.972,676,3.301
5837.192,614,2.998
5837.412,610,2.979
5837.632,613,2.993
5837.852,611,2.983
5838.072,611,2.983
5838.292,642,3.135
5838.512,612,2.988
5838.732,612,2.988
5838.952,613,2.993
5839.172,610,2.979
5839.392,643,3.14
5839.612,628,3.066
5839.832,610,2.979
5840.052,613,2.993
5840.272,613,2.993
5840.492,608,2.969
5840.712,640,3.125
5840.932,631,3.081
5841.152,608,2.969
5841.372,613,2.993
5841.592,612,2.988
5841.812,607,2.964
5842.032,654,3.193
5842.252,621,3.032
5842.472,609,2.974
5842.692,614,2.998
5842.912,612,2.988
5843.132,610,2.979
5843.352,678,3.311
5843.572,615,3.003
5843.792,611,2.983
5844.012,613,2.993
5844.232,611,2.983
5844.452,612,2.988
5844.672,627,3.062
5844.892,611,2.983
5845.112,613,2.993
5845.332,613,2.993
5845.552,610,2.979
5845.772,681,3.325
5845.992,615,3.003
5846.212,610,2.979
5846.432,613,2.993
5846.652,612,2.988
5846.872,607,2.964
5847.092,686,3.35
5847.312,614,2.998
5847.532,607,2.964
5847.752,613,2.993
5847.972,612,2.988
5848.192,608,2.969
5848.412,622,3.037
5848.632,613,2.993
5848.852,609,2.974
5849.072,613,2.993
5849.292,611,2.983
5849.512,610,2.979
5849.732,615,3.003
5849.952,612,2.988
5850.172,611,2.983
5850.392,613,2.993
5850.612,611,2.983
5850.832,614,2.998
5851.052,615,3.003
5851.272,610,2.979
5851.492,614,2.998
5851.712,613,2.993
5851.932,609,2.974
5852.152,684,3.34
5852.372,615,3.003
5852.592,609,2.974
5852.812,613,2.993
5853.032,612,2.988
5853.252,607,2.964
5853.472,639,3.12
5853.692,613,2.993
5853.912,608,2.969
5854.132,613,2.993
5854.352,613,2.993
5854.572,608,2.969
5854.792,615,3.003
5855.012,612,2.988
5855.232,610,2.979
5855.452,613,2.993
5855.672,611,2.983
5855.892,611,2.983
5856.112,614,2.998
5856.332,611,2.983
5856.552,612,2.988
5856.772,613,2.993
5856.992,610,2.979
5857.212,627,3.062
5857.432,614,2.998
5857.652,610,2.979
5857.872,614,2.998
5858.092,612,2.988
5858.312,669,3.267
5858.532,615,3.003
5858.752,613,2.993
5858.972,608,2.969
5859.192,613,2.993
5859.412,648,3.164
5859.632,607,2.964
5859.852,613,2.993
5860.072,612,2.988
5860.292,608,2.969
5860.512,613,2.993
5860.732,682,3.33
5860.952,609,2.974
5861.172,614,2.998
5861.392,611,2.983
5861.612,611,2.983
5861.832,612,2.988
5862.052,631,3.081
5862.272,612,2.988
5862.492,613,2.993
5862.712,611,2.983
5862.932,613,2.993
5863.152,675,3.296
5863.372,615,3.003
5863.592,614,2.998
5863.812,613,2.993
5864.032,609,2.974
5864.252,613,2.993
5864.472,641,3.13
5864.692,609,2.974
5864.912,614,2.998
5865.132,613,2.993
5865.352,607,2.964
5865.572,674,3.291
5865.792,617,3.013
5866.012,608,2.969
5866.232,614,2.998
5866.452,613,2.993
5866.672,609,2.974
5866.892,653,3.188
5867.112,613,2.993
5867.332,610,2.979
5867.552,613,2.993
5867.772,611,2.983
5867.992,611,2.983
5868.212,622,3.037
5868.432,612,2.988
5868.652,612,2.988
5868.872,613,2.993
5869.092,610,2.979
5869.312,613,2.993
5869.532,640,3.125
5869.752,611,2.983
5869.972,615,3.003
5870.192,613,2.993
5870.412,608,2.969
5870.632,613,2.993
5870.852,682,3.33
5871.072,612,2.988
5871.292,614,2.998
5871.512,613,2.993
5871.732,607,2.964
5871.952,613,2.993
5872.172,612,2.988
5872.392,609,2.974
5872.612,614,2.998
5872.832,612,2.988
5873.052,611,2.983
5873.272,613,2.993
5873.492,611,2.983
5873.712,611,2.983
5873.932,614,2.998
5874.152,612,2.988
5874.372,612,2.988
5874.592,613,2.993
5874.812,610,2.979
5875.032,658,3.213
5875.252,614,2.998
5875.472,611,2.983
5875.692,614,2.998
5875.912,612,2.988
5876.132,608,2.969
5876.352,628,3.066
5876.572,614,2.998
5876.792,608,2.969
5877.012,613,2.993
5877.232,612,2.988
5877.452,607,2.964
5877.672,615,3.003
5877.892,612,2.988
5878.112,608,2.969
5878.332,613,2.993
5878.552,612,2.988
5878.772,610,2.979
5878.992,614,2.998
5879.212,612,2.988
5879.432,611,2.983
5879.652,613,2.993
5879.872,638,3.115
5880.092,612,2.988
5880.312,614,2.998
5880.532,611,2.983
5880.752,614,2.998
5880.972,613,2.993
5881.192,667,3.257
5881.412,617,3.013
5881.632,614,2.998
5881.852,610,2.979
5882.072,613,2.993
5882.292,612,2.988
5882.512,673,3.286
5882.732,616,3.008
5882.952,613,2.993
5883.172,606,2.959
5883.392,613,2.993
5883.612,612,2.988
5883.832,608,2.969
5884.052,615,3.003
5884.272,613,2.993
5884.492,609,2.974
5884.712,613,2.993
5884.932,612,2.988
5885.152,610,2.979
5885.372,614,2.998
5885.592,612,2.988
5885.812,612,2.988
5886.032,613,2.993
5886.252,660,3.223
5886.472,614,2.998
5886.692,613,2.993
5886.912,610,2.979
5887.132,613,2.993
5887.352,613,2.993
5887.572,684,3.34
5887.792,616,3.008
5888.012,613,2.993
5888.232,609,2.974
5888.452,613,2.993
5888.672,612,2.988
5888.892,681,3.325
5889.112,615,3.003
5889.332,613,2.993
5889.552,608,2.969
5889.772,613,2.993
5889.992,612,2.988
5890.212,610,2.979
5890.432,615,3.003
5890.652,613,2.993
5890.872,610,2.979
5891.092,613,2.993
5891.312,612,2.988
5891.532,611,2.983
5891.752,615,3.003
5891.972,611,2.983
5892.192,613,2.993
5892.412,613,2.993
5892.632,610,2.979
5892.852,625,3.052
5893.072,614,2.998
5893.292,610,2.979
5893.512,614,2.998
5893.732,613,2.993
5893.952,609,2.974
5894.172,624,3.047
5894.392,613,2.993
5894.612,608,2.969
5894.832,614,2.998
5895.052,612,2.988
5895.272,607,2.964
