Time (s),Raw ADC,Voltage (V)
6017.812,614,2.998
6018.032,616,3.008
6018.252,617,3.013
6018.472,615,3.003
6018.692,618,3.018
6018.912,619,3.022
6019.132,616,3.008
6019.352,614,2.998
6019.572,618,3.018
6019.792,614,2.998
6020.012,700,3.418
6020.232,619,3.022
6020.452,614,2.998
6020.672,618,3.018
6020.892,616,3.008
6021.112,610,2.979
6021.332,641,3.13
6021.552,617,3.013
6021.772,612,2.988
6021.992,617,3.013
6022.212,616,3.008
6022.432,612,2.988
6022.652,635,3.101
6022.872,616,3.008
6023.092,613,2.993
6023.312,618,3.018
6023.532,615,3.003
6023.752,615,3.003
6023.972,620,3.027
6024.192,615,3.003
6024.412,616,3.008
6024.632,617,3.013
6024.852,613,2.993
6025.072,641,3.13
6025.292,617,3.013
6025.512,614,2.998
6025.732,617,3.013
6025.952,616,3.008
6026.172,660,3.223
6026.392,619,3.022
6026.612,617,3.013
6026.832,612,2.988
6027.052,616,3.008
6027.272,616,3.008
6027.492,611,2.983
6027.712,617,3.013
6027.932,617,3.013
6028.152,612,2.988
6028.372,616,3.008
6028.592,689,3.364
6028.812,613,2.993
6029.032,617,3.013
6029.252,615,3.003
6029.472,614,2.998
6029.692,617,3.013
6029.912,650,3.174
6030.132,615,3.003
6030.352,617,3.013
6030.572,614,2.998
6030.792,617,3.013
6031.012,673,3.286
6031.232,620,3.027
6031.452,617,3.013
6031.672,616,3.008
6031.892,613,2.993
6032.112,617,3.013
6032.332,683,3.335
6032.552,615,3.003
6032.772,618,3.018
6032.992,617,3.013
6033.212,610,2.979
6033.432,617,3.013
6033.652,688,3.359
6033.872,612,2.988
6034.092,617,3.013
6034.312,616,3.008
6034.532,612,2.988
6034.752,616,3.008
6034.972,685,3.345
6035.192,614,2.998
6035.412,617,3.013
6035.632,616,3.008
6035.852,615,3.003
6036.072,617,3.013
6036.292,688,3.359
6036.512,617,3.013
6036.732,617,3.013
6036.952,614,2.998
6037.172,617,3.013
6037.392,667,3.257
6037.612,619,3.022
6037.832,617,3.013
6038.052,617,3.013
6038.272,612,2.988
6038.492,617,3.013
6038.712,688,3.359
6038.932,613,2.993
6039.152,617,3.013
6039.372,616,3.008
6039.592,611,2.983
6039.812,617,3.013
6040.032,691,3.374
6040.252,612,2.988
6040.472,617,3.013
6040.692,616,3.008
6040.912,614,2.998
6041.132,617,3.013
